model_name,accuracy,precision,recall,f1_score
Logistic Regression,0.5416666666666666,0.5348837209302325,0.6388888888888888,0.5822784810126582
Random Forest,0.4583333333333333,0.46808510638297873,0.6111111111111112,0.5301204819277109
